id,name,type,parent_id,canonical,name_norm
d0d2fd09-b89d-43af-ac20-f0fa0e124cf0,Cambundi Catembo,COMUNA,811d5f5e-028a-4f67-a724-b35465b1ff85,Cambundi Catembo,cambundicatembo
a5181008-eb18-4389-aedf-7e2f4c832d0c,Camissombo,COMUNA,0c94ae6e-04ce-4982-86e4-1224581f716c,Camissombo,camissombo
2c5e5e43-8173-444e-b3c4-7b9af39b5b2f,Camucuio,COMUNA,40fe85b0-3c92-476f-ab63-a619d3c632a8,Camucuio,camucuio
d0edad9c-62a3-4908-baa3-ac74e1c204bf,Camuine,COMUNA,e1a383fa-9986-423d-be69-4c73a631350c,Camuine,camuine
8bacbe2d-b7ad-47cc-bf4d-c4cd9c3546a7,Canacassala,COMUNA,01fd822b-d989-43bd-9b54-b3beda8ed27c,Canacassala,canacassala
88763b99-77ec-4b27-97b8-d62aeabea294,Cancungo,COMUNA,5424c694-d7f8-422a-a358-503f5f051bcd,Cancungo,cancungo
f0c100e8-5778-4c1d-9eb5-d0baa073372f,Cangamba,COMUNA,032b940f-1545-400d-81f6-0a20654bbc25,Cangamba,cangamba
54d7daf4-5d7e-4815-a5ac-cbd0e982fdde,Cangandala,COMUNA,b7dcd36c-ab98-4dc6-a3a7-40ccae574dde,Cangandala,cangandala
cbe5f907-e379-463f-a9f2-4b352263f104,Cangola,COMUNA,924406e8-fe01-4cb7-a10e-708cac872164,Cangola,cangola
889eda78-0359-4384-a8dc-8d79990038b4,Cangombe,COMUNA,032b940f-1545-400d-81f6-0a20654bbc25,Cangombe,cangombe
0f55b1ca-6e61-488d-be26-daca4d9b6e21,Cangote,COMUNA,cda30a83-d3cf-4c78-8bf7-470d0bf1fca6,Cangote,cangote
354828d2-764b-46d7-a98e-8d4f3e492f59,Canjala,COMUNA,fbc07dcd-750b-45e3-a061-eba06c98131f,Canjala,canjala
4604649f-6c57-43a0-9be5-fd0feea2f749,Canzar,COMUNA,5af88720-3b6a-4131-b0b3-46cf752a51dc,Canzar,canzar
7bae3a3f-5686-4dc9-a1ad-7eaf5de2c104,Capaia,COMUNA,6c95a40c-04d6-4cc0-8485-7b1569b02164,Capaia,capaia
e03cc5cf-0754-4330-b0ea-7ec61a67b450,Capangombe,COMUNA,449c0eea-76c7-468b-8dd6-bb6cd058bdc9,Capangombe,capangombe
936a8c2b-964e-4490-b6d6-3d041a45a0ed,Capelongo,COMUNA,ab476cdc-b754-4446-8468-273d5ba51923,Capelongo,capelongo
c930376f-2f2b-4ec9-8200-63f996bb0738,Capenda Camulemba,COMUNA,2a92565c-4a7d-411b-bdcf-f8dcd485736d,Capenda Camulemba,capendacamulemba
126a2263-b574-45e6-9988-237c12b9a295,Capolo,COMUNA,62f269f3-3d6d-41b2-886c-7ce2fc96b5e2,Capolo,capolo
e34fbea0-2759-4c66-a3a1-ad4b6e345e02,Capunda,COMUNA,761854d8-18bb-46cf-baaa-da4d8c9c5ec0,Capunda,capunda
9fc08909-0820-4763-b05f-cdbff0b7447e,Capunda Cavilongo,COMUNA,6fab4a66-84d3-4d77-bbeb-08e4234c5999,Capunda Cavilongo,capundacavilongo
064703ef-dde9-4f49-b9af-c9ba2f3839f0,Cariamba,COMUNA,a49d1158-9e5e-4c30-aa15-01e0b805a690,Cariamba,cariamba
1b3939b7-721f-40ca-bdcf-f4edc51c46c8,Cariango,COMUNA,21c312e5-71d8-4e47-aade-ec8a119d55ba,Cariango,cariango
9428f774-1b9c-4982-a537-92d5afb93eae,Caribo,COMUNA,b7dcd36c-ab98-4dc6-a3a7-40ccae574dde,Caribo,caribo
1ce195f4-be9f-4beb-b963-abd73ba75d39,Cassamba,COMUNA,032b940f-1545-400d-81f6-0a20654bbc25,Cassamba,cassamba
b263399c-d504-4fca-894f-09860e3d1e67,Cassanje,COMUNA,e98d7861-86f2-43fc-93cc-308bbc4e905b,Cassanje,cassanje
669958df-0361-42ed-a999-b971611bf5d9,Cassanjo Calucala,COMUNA,e7969c25-4f59-4c8f-9886-714ee12b10a0,Cassanjo Calucala,cassanjocalucala
38c06ed1-71b7-4eba-8dfe-49fb0bb93ed5,Casseche,COMUNA,5424c694-d7f8-422a-a358-503f5f051bcd,Casseche,casseche
dd257c70-57c8-48a7-ad35-55e8da6be916,Cassinga,COMUNA,37e72058-5e94-4a3b-abe8-67902e6cbe7a,Cassinga,cassinga
d8f731d7-e886-492a-bce8-cb22cb2a9364,Cassoneca,COMUNA,67f2b0e4-d304-46ef-bb63-889afcf88414,Cassoneca,cassoneca
bf09fed7-3233-4145-b12b-246611257d47,Cassongo,COMUNA,ad7df181-0315-48bb-a05b-9228bcb949a7,Cassongo,cassongo
0378e822-16e5-4edb-828c-dcd5f9bab750,Cassongue,COMUNA,1f3a5b90-9058-49f5-a539-cfe077d19447,Cassongue,cassongue
5afb02df-ea44-4233-aa7e-f88ede87d28a,Cassumbe,COMUNA,12850655-0158-4ad7-9d19-137bc607c954,Cassumbe,cassumbe
f6c1ad59-0522-4abc-89f0-b665af983f44,Catabola,COMUNA,278a2327-c81c-4ade-8f8b-1c4561b9d35f,Catabola,catabola
122d382a-8d7b-4d8e-89b0-baed956f4687,Catata,COMUNA,6955fd2d-385c-48aa-bdac-2f95c211f42c,Catata,catata
96abd70c-433c-4df9-bcee-e8f5ae24b8cb,Catete,COMUNA,67f2b0e4-d304-46ef-bb63-889afcf88414,Catete,catete
8494da0d-cf2c-47b5-88be-5b914738af2f,Cavunga,COMUNA,92d12e20-a6a4-4411-a3fe-cd0c6ac5a968,Cavunga,cavunga
33e4e247-59d9-481a-aab9-a434a0217bd7,Caxicane,COMUNA,67f2b0e4-d304-46ef-bb63-889afcf88414,Caxicane,caxicane
ca92896d-81f4-4124-aa1d-547fc4ddae3b,Caxinga,COMUNA,b7e254cd-e1ba-4e31-b075-02ed8bddf313,Caxinga,caxinga
8dfc46e8-ab8d-413e-be1e-30c6c5e7655a,Caxito,COMUNA,2e801b10-c7bd-4feb-aee5-89c3d99b79b7,Caxito,caxito
3d280d73-2c36-4913-a2a9-16ccf5542749,Cazenga,COMUNA,4e743a97-706f-43ca-b45c-3c021ade4894,Cazenga,cazenga
1c8f304d-332f-4032-baf4-8edb5e6cafbd,Cazombo,COMUNA,b591175d-a078-4f6c-85b6-725fcd621e7e,Cazombo,cazombo
75db64d6-47fa-4c3c-af5b-453d7122cf1d,Cazuangongo,COMUNA,23274f0c-5046-4fd2-950f-4ed98a7d71c5,Cazuangongo,cazuangongo
ce2fdbd0-77bc-41a5-bf92-36ff120fd371,Caíta,COMUNA,fe3cf43c-78f9-42fe-a0b1-855d2cd3840c,Caíta,caita
b3985ed8-e6b3-4854-8a46-acb7519a2f19,Chiaca,COMUNA,44b13939-8bde-4f4f-a0ff-dcc4e8497be0,Chiaca,chiaca
76eb776e-8c9a-4607-b0eb-a4d1b8d72a60,Chiange,COMUNA,b568335a-4620-468a-aaed-974eb716f652,Chiange,chiange
bf8704c0-8e68-42df-b643-e73a5e36d87b,Chibia,COMUNA,1fe8cf5f-e966-4602-bdc3-fd509c54a5ef,Chibia,chibia
265804af-7de4-45dc-ac37-8487b75a010f,Chicala,COMUNA,b10d75c5-ecf5-4d3c-9be9-36aa7fbe97dc,Chicala,chicala
ca9f51e1-76e8-4563-b88b-61f626e187fc,Chicomba,COMUNA,23c91797-dafa-43d1-acc0-8ea0e8f27923,Chicomba,chicomba
c4857a00-bb4e-4e4a-83c0-e9c4abd719f8,Chimbemba,COMUNA,b568335a-4620-468a-aaed-974eb716f652,Chimbemba,chimbemba
5117ac68-8399-4709-8ce0-271639623ff2,Chingo,COMUNA,40fe85b0-3c92-476f-ab63-a619d3c632a8,Chingo,chingo
1bc34e24-6bdf-4d9b-9020-f9e85c2b0c46,Chinguar,COMUNA,cda30a83-d3cf-4c78-8bf7-470d0bf1fca6,Chinguar,chinguar
8fee110a-fca5-441a-8e33-7c74f4e4cacb,Chinhama,COMUNA,5da6ab3e-0b3e-4297-bef9-5cb6bd30b334,Chinhama,chinhama
cad48088-dea9-4622-a30d-31fd471b60d0,Chinjenje,COMUNA,44b13939-8bde-4f4f-a0ff-dcc4e8497be0,Chinjenje,chinjenje
63eb598c-d68c-43bf-94b6-db7b4017a81b,Chipeta,COMUNA,bd69b181-613b-4490-b3cb-de2fff734cd4,Chipeta,chipeta
1d9e9344-b38c-431c-bfc4-a3c0dba30312,Chipindo,COMUNA,2e4fbd16-8d1e-455a-b1bd-f1fb073f6afe,Chipindo,chipindo
9bf6233a-99f0-48d1-b776-84769f80f2e4,Chitembo,COMUNA,d055f625-1515-4ec9-b09c-ba367227feac,Chitembo,chitembo
6ac1501f-cb9c-415c-9354-b405cd35dcee,Chiuca,COMUNA,bd69b181-613b-4490-b3cb-de2fff734cd4,Chiuca,chiuca
e6d02f9c-e10f-4998-9321-507ca73b0b49,Chivaúlo,COMUNA,12850655-0158-4ad7-9d19-137bc607c954,Chivaúlo,chivaulo
94a75d73-dcb6-49e4-8bf8-97c34b7cabd9,Chongorói,COMUNA,e1a383fa-9986-423d-be69-4c73a631350c,Chongorói,chongoroi
7d2e9d60-bc2d-4557-bdbe-5ca06e1910f9,Conda,COMUNA,8df97a7e-ef5d-4966-baff-5aaef6af5bb4,Conda,conda
a4059d56-d5f0-4bad-a710-14ae6f36f3d1,Cota,COMUNA,7755e6e9-e896-44fb-bfd2-fb1c3fbae704,Cota,cota
f8983f6e-c438-429f-a6db-53dcaf932c03,Coxe,COMUNA,5fad6578-e7e8-43b7-92c3-595b8a47a6ba,Coxe,coxe
717b5f73-8347-4bc9-847e-51ce9666b7ed,Cuango Calumbo,COMUNA,a972be77-a39b-4458-86ec-e26b06554387,Cuango Calumbo,cuangocalumbo
6004ec27-58a2-428d-b71f-5c04a61e77ef,Cuanza,COMUNA,50bdebd3-101c-488c-83c4-ca58d1f06a88,Cuanza,cuanza
4bce8bde-81e8-4691-838c-9b15795853c7,Cubal do Lumbo,COMUNA,d6979483-3765-4110-86cc-6f8bb2065352,Cubal do Lumbo,cubaldolumbo
67228100-aed5-4023-929e-e8207f6ce754,Cucumbi,COMUNA,0984430a-b7eb-456d-8039-3cfd5d315428,Cucumbi,cucumbi
21433b67-7e89-475a-b9e9-6cda97f8c89d,Cuemba,COMUNA,018d8b7e-e426-4df4-94a0-71796c1b3a9a,Cuemba,cuemba
64e0b4e3-73fb-41b6-8cb8-e9a787f33c24,Cuilo Camboso,COMUNA,c8e68c61-c7b5-45ab-be4e-023f0926ffa5,Cuilo Camboso,cuilocamboso
f92b4ba2-dabf-414f-b40b-28cdf7bb7849,Cuilo Futa,COMUNA,7c267419-0607-48a0-ba32-66c4c7d0d82e,Cuilo Futa,cuilofuta
9af1443b-0337-432d-8bf5-07c944bc7060,Cuilo Pombo,COMUNA,57cde214-fcb1-4d43-8af7-af5db5344f51,Cuilo Pombo,cuilopombo
82073155-2534-46d8-9355-b7d44bfabda8,Cuima,COMUNA,6955fd2d-385c-48aa-bdac-2f95c211f42c,Cuima,cuima
7cc14146-81de-41aa-8fd1-d3c2af3bd876,Cuimba,COMUNA,a6d2fa52-6e59-4e27-9215-fa3b5982f228,Cuimba,cuimba
88fef302-0c70-414c-89e5-bc9281d5a4e9,Cuito,COMUNA,aee52a9b-a4fd-438e-81e7-441f398eccbf,Cuito,cuito
88d029df-425c-4585-8334-5239371b2bd1,Cuito Cuanavale,COMUNA,f2326eb5-cca4-43e8-970f-c1b9f3ddc914,Cuito Cuanavale,cuitocuanavale
360208ba-a800-464f-bc15-22de96fc951b,Culamagia,COMUNA,b7dcd36c-ab98-4dc6-a3a7-40ccae574dde,Culamagia,culamagia
cdb96e32-5420-4ef6-bbc4-7aa4794991e7,Cumbira,COMUNA,1ec888ee-2a42-4fa3-adf1-17e5b4af5a91,Cumbira,cumbira
bd3a22fe-9706-4fad-9ee2-291a5c9dfe43,Cunga Palanga,COMUNA,761854d8-18bb-46cf-baaa-da4d8c9c5ec0,Cunga Palanga,cungapalanga
ab8ccfd7-126d-4a4e-bc4c-378637db36cc,Cunjamba,COMUNA,60a42eb3-0fa8-49fc-90ca-3c6febde5457,Cunjamba,cunjamba
f4e2ecab-7cf9-4479-856d-28aba996b017,Cunje,COMUNA,aee52a9b-a4fd-438e-81e7-441f398eccbf,Cunje,cunje
97472bf9-37c5-4f35-be2d-c46987d531b8,Cunjo,COMUNA,8df97a7e-ef5d-4966-baff-5aaef6af5bb4,Cunjo,cunjo
0ff8c575-03d6-4c3a-abfb-c7e3511bcc43,Cusse,COMUNA,82124ef8-4268-4c7e-b982-e61b845dfd8e,Cusse,cusse
841e039f-c92d-4828-8594-e8b905d28c43,Cutato,COMUNA,c46f5994-3b08-49ed-89f1-ea83521e0496,Cutato,cutato
692d1d09-2ec2-4e69-b3e6-533ec75b3701,Cutato,COMUNA,cda30a83-d3cf-4c78-8bf7-470d0bf1fca6,Cutato,cutato
f57b9d9c-4e01-4112-a38b-06fb3d38e060,Cutenda,COMUNA,23c91797-dafa-43d1-acc0-8ea0e8f27923,Cutenda,cutenda
99887b44-a113-43b2-8c96-98cb24d6d530,Cutuile,COMUNA,60a42eb3-0fa8-49fc-90ca-3c6febde5457,Cutuile,cutuile
0a1b929f-82b4-46d1-8a67-39e77869da5d,Cuílo,COMUNA,033398e0-c595-41ba-8717-645162ab20fd,Cuílo,cuilo
dccde20b-6b01-48f3-b4b6-05ca0024c64d,Dala Cachibo,COMUNA,baa7dddc-6602-4ffd-b26d-259bd54451de,Dala Cachibo,dalacachibo
39d4b020-cf59-409f-b2fd-a3d5333b6b0c,Damba,COMUNA,47201005-3f04-43c7-81c4-508afde44775,Damba,damba
